iter	Logloss
238	0.1091195309
239	0.1090523646
240	0.1088418141
241	0.1086504312
242	0.1084593551
243	0.1082901517
244	0.1081321531
245	0.1080167568
246	0.1078691941
247	0.1077060461
248	0.1075685056
249	0.1074534937
250	0.107302484
251	0.107157884
252	0.1070473694
253	0.1069597128
254	0.1069078706
255	0.1067424652
256	0.1065847193
257	0.1064674371
258	0.1063379804
259	0.1061350966
260	0.1060211285
261	0.1059248304
262	0.1058921815
263	0.1057547523
264	0.1056063344
265	0.1054948196
266	0.105455633
267	0.1053624626
268	0.1053149109
269	0.1052021118
270	0.1050839542
271	0.1049304424
272	0.1047395434
273	0.1045897942
274	0.1044374144
275	0.1043079078
276	0.1041478954
277	0.1040749182
278	0.1039330492
279	0.1038098775
280	0.1036876382
281	0.1036571176
282	0.1035545843
283	0.1034262601
284	0.1032876155
285	0.1030805328
286	0.1029488146
287	0.1027484868
288	0.1025509367
289	0.1024093129
290	0.1022831285
291	0.1021367355
292	0.1019305979
293	0.1017899204
294	0.1016555047
295	0.1014888641
296	0.1013865194
297	0.101257065
298	0.101161257
299	0.1009861679
300	0.1008351535
301	0.1006586193
302	0.1005669313
303	0.100457766
304	0.1003368597
305	0.1001658032
306	0.1000267299
307	0.09992481034
308	0.09981728986
309	0.09972079901
310	0.09955879293
311	0.09948676631
312	0.09945978245
313	0.09938335956
314	0.09922866609
315	0.09915966329
316	0.09912397199
317	0.09902337981
318	0.0988940398
319	0.09877268741
320	0.09861518578
321	0.09849997415
322	0.09836240274
323	0.09825787725
324	0.0981335595
325	0.09804240582
326	0.09791499301
327	0.09778507772
328	0.09762556963
329	0.09758571209
330	0.09743696081
331	0.097308825
332	0.09713756632
333	0.09703851475
334	0.09692587669
335	0.09682069656
336	0.09669735993
337	0.09658392761
338	0.09640332023
339	0.09630489956
340	0.09617749962
341	0.09611779001
342	0.09605193709
343	0.09591754406
344	0.09575930804
345	0.09566733546
346	0.09551500023
347	0.09538430818
348	0.09529427745
349	0.09519573309
350	0.09507561321
351	0.09499329623
352	0.09490267272
353	0.09480385798
354	0.09466920942
355	0.09450921386
356	0.09437758225
357	0.09426905572
358	0.09413569792
359	0.09407375477
360	0.09391733028
361	0.09375984513
362	0.09364588123
363	0.09354278048
364	0.09344683088
365	0.09331094203
366	0.09321387304
367	0.09315348874
368	0.09303730777
369	0.09293767893
370	0.09280259157
371	0.09272920597
372	0.09261934625
373	0.09259320281
374	0.0924866361
375	0.09241083383
376	0.09226363315
377	0.09216817131
378	0.09205623518
379	0.09199348292
380	0.09189905733
381	0.09177175844
382	0.09165318894
383	0.09153923656
384	0.09142698297
385	0.0913178276
386	0.09127039269
387	0.09116767505
388	0.0910249691
389	0.09093712243
390	0.09086592115
391	0.0907487059
392	0.09068067479
393	0.09054528916
394	0.09044479172
395	0.09024670929
396	0.09020419417
397	0.0900937008
398	0.09004208652
399	0.08992436492
400	0.08976585138
401	0.08967740275
402	0.08954166857
403	0.08949446667
404	0.08932918013
405	0.08926772157
406	0.08916343944
407	0.08902465419
408	0.08894864689
409	0.08889746113
410	0.08886849196
411	0.0888141317
412	0.08867572542
413	0.08862839033
414	0.08849471907
415	0.08838188795
416	0.08827463108
417	0.08819599441
418	0.08808043863
419	0.08800691212
420	0.08787903208
421	0.08777762883
422	0.0876558077
423	0.08753377336
424	0.08744597672
425	0.08736245426
426	0.0872323748
427	0.08714222294
428	0.08709360685
429	0.08694567212
430	0.08679122096
431	0.08670687047
432	0.08659125248
433	0.0865253263
434	0.08643701652
435	0.08633784739
436	0.08625139626
437	0.08610023185
438	0.08603985569
439	0.08591745647
440	0.08583624792
441	0.0857436925
442	0.08561813859
443	0.08553264186
444	0.085475784
445	0.08534868764
446	0.08525988964
447	0.08517176047
448	0.08507813521
449	0.08497650095
450	0.08490629304
451	0.08483724116
452	0.0846817094
453	0.08460259066
454	0.08448865441
455	0.08439173556
456	0.08430676377
457	0.08428261014
458	0.0841537244
459	0.0841102933
460	0.08398187231
461	0.08386058948
462	0.08376696834
463	0.08366531797
464	0.08356304225
465	0.0834804871
466	0.08330249015
467	0.08317479172
468	0.08307378637
469	0.08298004877
470	0.08285779334
471	0.08281600048
472	0.0827175683
473	0.0826186302
474	0.08249155107
475	0.08241871072
476	0.08237233233
477	0.08228507399
478	0.08211593093
479	0.08199802134
480	0.08190592826
481	0.08176437401
482	0.08165294104
483	0.08153318159
484	0.08144061525
485	0.08135686859
486	0.08125878712
487	0.08114035165
488	0.08105592121
489	0.08099254505
490	0.08088775206
491	0.08079248571
492	0.08069424057
493	0.08058990582
494	0.08054851623
495	0.08047362257
496	0.08037896537
497	0.08029664922
498	0.08019939801
499	0.08011697171
